
Predictions were generated on 10-Aug-2025 at 22:29:43 using OpenFAST, compiled as a DLL S-Function for Simulink as a 64-bit application using single precision at commit v3.5.3
 linked with  NWTC Subroutine Library; ElastoDyn; InflowWind; AeroDyn; ServoDyn

Description from the FAST input file: Generated with AeroElasticSE FAST driver

Time	Wind1VelX	WindMeas1	BldPitch1	GenSpeed	LSSGagVxa	RotSpeed	NcIMURAys	NcIMUTAxs	RootMyc1	RootMyc2	RootMyc3	Azimuth	PtchPMzc1	GenPwr	GenTq	BlPitchC1	BlPitchC2	BlPitchC3
(s)	(m/s)	INVALID	(deg)	(rpm)	(rpm)	(rpm)	(deg/s^2)	(m/s^2)	(kN-m)	(kN-m)	(kN-m)	(deg)	(deg)	(kW)	(kN-m)	(deg)	(deg)	(deg)
    0.0000	 1.538E+01	 0.000E+00	 1.745E-02	 7.760E+02	 8.000E+00	 8.000E+00	-3.901E+00	-3.745E-01	 1.172E+03	 4.506E+02	 4.579E+02	 0.000E+00	 1.745E-02	 0.000E+00	 0.000E+00	 1.745E-02	 1.745E-02	 1.745E-02
    0.0250	 1.538E+01	 0.000E+00	 1.745E-02	 7.770E+02	 8.010E+00	 8.010E+00	-8.017E-01	 1.087E+00	 4.469E+03	 4.840E+03	 4.275E+03	 1.201E+00	 1.745E-02	 0.000E+00	 0.000E+00	-3.491E-02	-3.491E-02	-3.491E-02
    0.0500	 1.538E+01	 0.000E+00	-1.396E-01	 7.780E+02	 8.021E+00	 8.021E+00	-4.637E-01	 1.109E+00	 4.475E+03	 4.925E+03	 4.303E+03	 2.403E+00	-1.396E-01	 0.000E+00	 0.000E+00	 1.745E-02	 1.745E-02	 1.745E-02
    0.0750	 1.538E+01	 0.000E+00	 1.745E-01	 7.792E+02	 8.033E+00	 8.033E+00	-1.607E-02	 1.122E+00	 4.420E+03	 4.939E+03	 4.362E+03	 3.607E+00	 1.745E-01	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.1000	 1.538E+01	 0.000E+00	-8.727E-02	 7.805E+02	 8.047E+00	 8.047E+00	 4.560E-01	 1.113E+00	 4.280E+03	 4.928E+03	 4.322E+03	 4.813E+00	-8.727E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.1250	 1.538E+01	 0.000E+00	 1.745E-02	 7.820E+02	 8.062E+00	 8.062E+00	 1.081E+00	 1.135E+00	 4.235E+03	 5.043E+03	 4.393E+03	 6.021E+00	 1.745E-02	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.1500	 1.538E+01	 0.000E+00	 0.000E+00	 7.837E+02	 8.079E+00	 8.079E+00	 1.632E+00	 1.131E+00	 4.123E+03	 5.082E+03	 4.395E+03	 7.232E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.1750	 1.538E+01	 0.000E+00	 0.000E+00	 7.855E+02	 8.098E+00	 8.098E+00	 2.171E+00	 1.128E+00	 4.049E+03	 5.148E+03	 4.402E+03	 8.445E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
    0.2000	 1.538E+01	 0.000E+00	 0.000E+00	 7.874E+02	 8.117E+00	 8.117E+00	 2.572E+00	 1.112E+00	 3.990E+03	 5.209E+03	 4.407E+03	 9.661E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00	 0.000E+00
